date,day,campus,count,meal,soup,main_dish,vegetarian,side_dishes,dessert
2024-10-10,thursday,Anadoluhisari,360,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-10,thursday,Kuzey,364,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-10,thursday,Guney,177,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-10,thursday,Kilyos,52,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-10,thursday,Kandilli,35,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-11,friday,Anadoluhisari,360,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-11,friday,Kuzey,292,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-11,friday,Guney,137,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-11,friday,Kilyos,39,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-11,friday,Kandilli,37,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-12,saturday,Anadoluhisari,49,breakfast,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal"
2024-10-12,saturday,Kuzey,158,breakfast,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal"
2024-10-12,saturday,Guney,91,breakfast,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal"
2024-10-12,saturday,Kilyos,35,breakfast,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal"
2024-10-12,saturday,Kandilli,66,breakfast,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal"
2024-10-13,sunday,Anadoluhisari,49,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, labne, tahin-pekmez, helva"
2024-10-13,sunday,Kuzey,144,breakfast,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, labne, tahin-pekmez, helva"
